chr	tag	start	end	strand	ID
chr05	CDS	78047	78117	-	LOC_Os05g01060.1:cds_17
chr05	CDS	77835	77954	-	LOC_Os05g01060.1:cds_18
chr05	CDS	77075	77163	-	LOC_Os05g01060.1:cds_19
chr05	CDS	76150	76195	-	LOC_Os05g01060.1:cds_20
chr05	CDS	75504	75551	-	LOC_Os05g01060.1:cds_21
chr05	three_prime_UTR	75185	75503	-	LOC_Os05g01060.1:utr_1
chr05	mRNA	75185	83483	-	LOC_Os05g01060.2
chr05	exon	83153	83483	-	LOC_Os05g01060.2:exon_1
chr05	exon	83004	83066	-	LOC_Os05g01060.2:exon_2
chr05	exon	82527	82828	-	LOC_Os05g01060.2:exon_3
chr05	exon	82355	82448	-	LOC_Os05g01060.2:exon_4
chr05	exon	82195	82272	-	LOC_Os05g01060.2:exon_5
chr05	exon	82055	82114	-	LOC_Os05g01060.2:exon_6
chr05	exon	81875	81979	-	LOC_Os05g01060.2:exon_7
chr05	exon	81336	81446	-	LOC_Os05g01060.2:exon_8
chr05	exon	80861	80902	-	LOC_Os05g01060.2:exon_9
chr05	exon	80565	80681	-	LOC_Os05g01060.2:exon_10
chr05	exon	80306	80493	-	LOC_Os05g01060.2:exon_11
chr05	exon	79488	79771	-	LOC_Os05g01060.2:exon_12
chr05	exon	79273	79394	-	LOC_Os05g01060.2:exon_13
chr05	exon	79114	79156	-	LOC_Os05g01060.2:exon_14
chr05	exon	78912	79003	-	LOC_Os05g01060.2:exon_15
chr05	exon	75185	75551	-	LOC_Os05g01060.2:exon_16
chr05	five_prime_UTR	83282	83483	-	LOC_Os05g01060.2:utr_2
chr05	CDS	83153	83281	-	LOC_Os05g01060.2:cds_1
chr05	CDS	83004	83066	-	LOC_Os05g01060.2:cds_2
chr05	CDS	82527	82828	-	LOC_Os05g01060.2:cds_3
chr05	CDS	82355	82448	-	LOC_Os05g01060.2:cds_4
chr05	CDS	82195	82272	-	LOC_Os05g01060.2:cds_5
chr05	CDS	82055	82114	-	LOC_Os05g01060.2:cds_6
chr05	CDS	81875	81979	-	LOC_Os05g01060.2:cds_7
chr05	CDS	81336	81446	-	LOC_Os05g01060.2:cds_8
chr05	CDS	80861	80902	-	LOC_Os05g01060.2:cds_9
chr05	CDS	80565	80681	-	LOC_Os05g01060.2:cds_10
chr05	CDS	80306	80493	-	LOC_Os05g01060.2:cds_11
chr05	CDS	79488	79771	-	LOC_Os05g01060.2:cds_12
chr05	CDS	79273	79394	-	LOC_Os05g01060.2:cds_13
chr05	CDS	79114	79156	-	LOC_Os05g01060.2:cds_14
chr05	CDS	78912	79003	-	LOC_Os05g01060.2:cds_15
chr05	CDS	75504	75551	-	LOC_Os05g01060.2:cds_16
chr05	three_prime_UTR	75185	75503	-	LOC_Os05g01060.2:utr_1
chr05	gene	85543	85820	-	LOC_Os05g01070
chr05	mRNA	85543	85820	-	LOC_Os05g01070.1
chr05	exon	85739	85820	-	LOC_Os05g01070.1:exon_1
chr05	exon	85543	85658	-	LOC_Os05g01070.1:exon_2
chr05	CDS	85739	85820	-	LOC_Os05g01070.1:cds_1
chr05	CDS	85543	85658	-	LOC_Os05g01070.1:cds_2
chr05	gene	87431	87931	-	LOC_Os05g01080
chr05	mRNA	87431	87931	-	LOC_Os05g01080.1
chr05	exon	87431	87931	-	LOC_Os05g01080.1:exon_1
chr05	CDS	87431	87931	-	LOC_Os05g01080.1:cds_1
chr05	gene	91680	95793	+	LOC_Os05g01090
chr05	mRNA	91680	95791	+	LOC_Os05g01090.1
chr05	exon	91680	91897	+	LOC_Os05g01090.1:exon_1
chr05	exon	91989	92209	+	LOC_Os05g01090.1:exon_2
chr05	exon	92301	92358	+	LOC_Os05g01090.1:exon_3
chr05	exon	92616	92788	+	LOC_Os05g01090.1:exon_4
chr05	exon	92873	93056	+	LOC_Os05g01090.1:exon_5
chr05	exon	93168	93338	+	LOC_Os05g01090.1:exon_6
chr05	exon	93828	93859	+	LOC_Os05g01090.1:exon_7
chr05	exon	93941	93983	+	LOC_Os05g01090.1:exon_8
chr05	exon	94113	94180	+	LOC_Os05g01090.1:exon_9
chr05	exon	94906	94950	+	LOC_Os05g01090.1:exon_10
chr05	exon	95040	95791	+	LOC_Os05g01090.1:exon_11
chr05	five_prime_UTR	91680	91842	+	LOC_Os05g01090.1:utr_1
chr05	CDS	91843	91897	+	LOC_Os05g01090.1:cds_1
chr05	CDS	91989	92209	+	LOC_Os05g01090.1:cds_2
chr05	CDS	92301	92358	+	LOC_Os05g01090.1:cds_3
chr05	CDS	92616	92788	+	LOC_Os05g01090.1:cds_4
chr05	CDS	92873	93056	+	LOC_Os05g01090.1:cds_5
chr05	CDS	93168	93338	+	LOC_Os05g01090.1:cds_6
chr05	CDS	93828	93859	+	LOC_Os05g01090.1:cds_7
chr05	CDS	93941	93983	+	LOC_Os05g01090.1:cds_8
chr05	CDS	94113	94180	+	LOC_Os05g01090.1:cds_9
chr05	CDS	94906	94950	+	LOC_Os05g01090.1:cds_10
chr05	CDS	95040	95507	+	LOC_Os05g01090.1:cds_11
chr05	three_prime_UTR	95508	95791	+	LOC_Os05g01090.1:utr_2
chr05	mRNA	91680	95793	+	LOC_Os05g01090.2
chr05	exon	91680	91897	+	LOC_Os05g01090.2:exon_1
chr05	exon	92001	92209	+	LOC_Os05g01090.2:exon_2
chr05	exon	92301	92358	+	LOC_Os05g01090.2:exon_3
chr05	exon	92616	92788	+	LOC_Os05g01090.2:exon_4
chr05	exon	92873	93056	+	LOC_Os05g01090.2:exon_5
chr05	exon	93168	93338	+	LOC_Os05g01090.2:exon_6
chr05	exon	93828	93859	+	LOC_Os05g01090.2:exon_7
chr05	exon	93941	93983	+	LOC_Os05g01090.2:exon_8
chr05	exon	94113	94180	+	LOC_Os05g01090.2:exon_9
chr05	exon	94906	94950	+	LOC_Os05g01090.2:exon_10
chr05	exon	95040	95793	+	LOC_Os05g01090.2:exon_11
chr05	five_prime_UTR	91680	91842	+	LOC_Os05g01090.2:utr_1
chr05	CDS	91843	91897	+	LOC_Os05g01090.2:cds_1
chr05	CDS	92001	92209	+	LOC_Os05g01090.2:cds_2
chr05	CDS	92301	92358	+	LOC_Os05g01090.2:cds_3
chr05	CDS	92616	92788	+	LOC_Os05g01090.2:cds_4
chr05	CDS	92873	93056	+	LOC_Os05g01090.2:cds_5
chr05	CDS	93168	93338	+	LOC_Os05g01090.2:cds_6
chr05	CDS	93828	93859	+	LOC_Os05g01090.2:cds_7
chr05	CDS	93941	93983	+	LOC_Os05g01090.2:cds_8
chr05	CDS	94113	94180	+	LOC_Os05g01090.2:cds_9
chr05	CDS	94906	94950	+	LOC_Os05g01090.2:cds_10
chr05	CDS	95040	95507	+	LOC_Os05g01090.2:cds_11
chr05	three_prime_UTR	95508	95793	+	LOC_Os05g01090.2:utr_2
chr05	mRNA	91680	95793	+	LOC_Os05g01090.3
chr05	exon	91680	91897	+	LOC_Os05g01090.3:exon_1
chr05	exon	92007	92209	+	LOC_Os05g01090.3:exon_2
chr05	exon	92301	92358	+	LOC_Os05g01090.3:exon_3
chr05	exon	92616	92788	+	LOC_Os05g01090.3:exon_4
chr05	exon	92873	93056	+	LOC_Os05g01090.3:exon_5
chr05	exon	93168	93338	+	LOC_Os05g01090.3:exon_6
chr05	exon	93828	93859	+	LOC_Os05g01090.3:exon_7
chr05	exon	93941	93983	+	LOC_Os05g01090.3:exon_8
chr05	exon	94113	94180	+	LOC_Os05g01090.3:exon_9
chr05	exon	94906	94950	+	LOC_Os05g01090.3:exon_10
chr05	exon	95040	95793	+	LOC_Os05g01090.3:exon_11
chr05	five_prime_UTR	91680	91842	+	LOC_Os05g01090.3:utr_1
chr05	CDS	91843	91897	+	LOC_Os05g01090.3:cds_1
chr05	CDS	92007	92209	+	LOC_Os05g01090.3:cds_2
chr05	CDS	92301	92358	+	LOC_Os05g01090.3:cds_3
chr05	CDS	92616	92788	+	LOC_Os05g01090.3:cds_4
chr05	CDS	92873	93056	+	LOC_Os05g01090.3:cds_5
chr05	CDS	93168	93338	+	LOC_Os05g01090.3:cds_6
chr05	CDS	93828	93859	+	LOC_Os05g01090.3:cds_7
chr05	CDS	93941	93983	+	LOC_Os05g01090.3:cds_8
chr05	CDS	94113	94180	+	LOC_Os05g01090.3:cds_9
chr05	CDS	94906	94950	+	LOC_Os05g01090.3:cds_10
chr05	CDS	95040	95507	+	LOC_Os05g01090.3:cds_11
chr05	three_prime_UTR	95508	95793	+	LOC_Os05g01090.3:utr_2
chr05	gene	95909	96914	-	LOC_Os05g01100
chr05	mRNA	95909	96914	-	LOC_Os05g01100.1
chr05	exon	96547	96914	-	LOC_Os05g01100.1:exon_1
chr05	exon	95909	96418	-	LOC_Os05g01100.1:exon_2
chr05	five_prime_UTR	96833	96914	-	LOC_Os05g01100.1:utr_2
chr05	CDS	96547	96832	-	LOC_Os05g01100.1:cds_1
chr05	CDS	96099	96418	-	LOC_Os05g01100.1:cds_2
chr05	three_prime_UTR	95909	96098	-	LOC_Os05g01100.1:utr_1
chr05	gene	97343	99802	-	LOC_Os05g01110
chr05	mRNA	97343	99802	-	LOC_Os05g01110.1
chr05	exon	99541	99802	-	LOC_Os05g01110.1:exon_1
chr05	exon	97343	97925	-	LOC_Os05g01110.1:exon_2
chr05	five_prime_UTR	99722	99802	-	LOC_Os05g01110.1:utr_2
chr05	CDS	99541	99721	-	LOC_Os05g01110.1:cds_1
chr05	CDS	97693	97925	-	LOC_Os05g01110.1:cds_2
chr05	three_prime_UTR	97343	97692	-	LOC_Os05g01110.1:utr_1
chr05	gene	101365	104149	-	LOC_Os05g01120
chr05	mRNA	101365	104149	-	LOC_Os05g01120.1
chr05	exon	102901	104149	-	LOC_Os05g01120.1:exon_1
chr05	exon	102688	102768	-	LOC_Os05g01120.1:exon_2
chr05	exon	102483	102561	-	LOC_Os05g01120.1:exon_3
chr05	exon	102082	102188	-	LOC_Os05g01120.1:exon_4
chr05	exon	101839	101993	-	LOC_Os05g01120.1:exon_5
chr05	exon	101365	101743	-	LOC_Os05g01120.1:exon_6
chr05	five_prime_UTR	103933	104149	-	LOC_Os05g01120.1:utr_2
chr05	CDS	102901	103932	-	LOC_Os05g01120.1:cds_1
chr05	CDS	102688	102768	-	LOC_Os05g01120.1:cds_2
chr05	CDS	102483	102561	-	LOC_Os05g01120.1:cds_3
chr05	CDS	102082	102188	-	LOC_Os05g01120.1:cds_4
chr05	CDS	101839	101993	-	LOC_Os05g01120.1:cds_5
chr05	CDS	101641	101743	-	LOC_Os05g01120.1:cds_6
chr05	three_prime_UTR	101365	101640	-	LOC_Os05g01120.1:utr_1
chr05	gene	105273	109494	+	LOC_Os05g01130
chr05	mRNA	105273	109494	+	LOC_Os05g01130.1
chr05	exon	105273	107817	+	LOC_Os05g01130.1:exon_1
chr05	exon	107946	108182	+	LOC_Os05g01130.1:exon_2
chr05	exon	108234	108967	+	LOC_Os05g01130.1:exon_3
chr05	exon	109015	109194	+	LOC_Os05g01130.1:exon_4
chr05	exon	109390	109494	+	LOC_Os05g01130.1:exon_5
chr05	CDS	105273	107817	+	LOC_Os05g01130.1:cds_1
chr05	CDS	107946	108182	+	LOC_Os05g01130.1:cds_2
chr05	CDS	108234	108967	+	LOC_Os05g01130.1:cds_3
chr05	CDS	109015	109194	+	LOC_Os05g01130.1:cds_4
chr05	CDS	109390	109494	+	LOC_Os05g01130.1:cds_5
chr05	gene	116431	118348	-	LOC_Os05g01140
chr05	mRNA	116431	118348	-	LOC_Os05g01140.1
chr05	exon	116431	118348	-	LOC_Os05g01140.1:exon_1
chr05	five_prime_UTR	118199	118348	-	LOC_Os05g01140.1:utr_2
chr05	CDS	117077	118198	-	LOC_Os05g01140.1:cds_1
chr05	three_prime_UTR	116431	117076	-	LOC_Os05g01140.1:utr_1
chr05	gene	129603	132863	-	LOC_Os05g01150
chr05	mRNA	129603	132863	-	LOC_Os05g01150.1
chr05	exon	132669	132863	-	LOC_Os05g01150.1:exon_1
chr05	exon	131914	132343	-	LOC_Os05g01150.1:exon_2
chr05	exon	130232	130270	-	LOC_Os05g01150.1:exon_3
chr05	exon	129758	129821	-	LOC_Os05g01150.1:exon_4
chr05	exon	129603	129711	-	LOC_Os05g01150.1:exon_5
chr05	CDS	132669	132863	-	LOC_Os05g01150.1:cds_1
chr05	CDS	131914	132343	-	LOC_Os05g01150.1:cds_2
chr05	CDS	130232	130270	-	LOC_Os05g01150.1:cds_3
chr05	CDS	129758	129821	-	LOC_Os05g01150.1:cds_4
chr05	CDS	129603	129711	-	LOC_Os05g01150.1:cds_5
chr05	gene	134266	135141	+	LOC_Os05g01160
chr05	mRNA	134266	135141	+	LOC_Os05g01160.1
chr05	exon	134266	134853	+	LOC_Os05g01160.1:exon_1
chr05	exon	135031	135141	+	LOC_Os05g01160.1:exon_2
chr05	CDS	134266	134853	+	LOC_Os05g01160.1:cds_1
chr05	CDS	135031	135141	+	LOC_Os05g01160.1:cds_2
chr05	gene	137162	140498	-	LOC_Os05g01170
chr05	mRNA	137162	140498	-	LOC_Os05g01170.1
chr05	exon	139646	140498	-	LOC_Os05g01170.1:exon_1
chr05	exon	139202	139590	-	LOC_Os05g01170.1:exon_2
chr05	exon	138409	139045	-	LOC_Os05g01170.1:exon_3
chr05	exon	137875	138115	-	LOC_Os05g01170.1:exon_4
chr05	exon	137162	137210	-	LOC_Os05g01170.1:exon_5
chr05	CDS	139646	140498	-	LOC_Os05g01170.1:cds_1
chr05	CDS	139202	139590	-	LOC_Os05g01170.1:cds_2
chr05	CDS	138409	139045	-	LOC_Os05g01170.1:cds_3
chr05	CDS	137875	138115	-	LOC_Os05g01170.1:cds_4
chr05	CDS	137162	137210	-	LOC_Os05g01170.1:cds_5
chr05	gene	140780	143130	-	LOC_Os05g01180
chr05	mRNA	140780	143130	-	LOC_Os05g01180.1
chr05	exon	140780	143130	-	LOC_Os05g01180.1:exon_1
chr05	five_prime_UTR	142718	143130	-	LOC_Os05g01180.1:utr_2
chr05	CDS	141632	142717	-	LOC_Os05g01180.1:cds_1
chr05	three_prime_UTR	140780	141631	-	LOC_Os05g01180.1:utr_1
chr05	gene	143838	147616	+	LOC_Os05g01190
chr05	mRNA	143838	147616	+	LOC_Os05g01190.1
chr05	exon	143838	144057	+	LOC_Os05g01190.1:exon_1
chr05	exon	144930	145615	+	LOC_Os05g01190.1:exon_2
chr05	exon	145757	147006	+	LOC_Os05g01190.1:exon_3
chr05	exon	147103	147167	+	LOC_Os05g01190.1:exon_4
chr05	exon	147271	147616	+	LOC_Os05g01190.1:exon_5
chr05	five_prime_UTR	143838	144009	+	LOC_Os05g01190.1:utr_1
chr05	CDS	144010	144057	+	LOC_Os05g01190.1:cds_1
chr05	CDS	144930	145615	+	LOC_Os05g01190.1:cds_2
chr05	CDS	145757	147006	+	LOC_Os05g01190.1:cds_3
chr05	CDS	147103	147167	+	LOC_Os05g01190.1:cds_4
chr05	CDS	147271	147276	+	LOC_Os05g01190.1:cds_5
chr05	three_prime_UTR	147277	147616	+	LOC_Os05g01190.1:utr_2
chr05	gene	148284	149345	+	LOC_Os05g01200
chr05	mRNA	148284	149345	+	LOC_Os05g01200.1
chr05	exon	148284	148409	+	LOC_Os05g01200.1:exon_1
chr05	exon	148521	149345	+	LOC_Os05g01200.1:exon_2
chr05	five_prime_UTR	148284	148409	+	LOC_Os05g01200.1:utr_1
chr05	five_prime_UTR	148521	148561	+	LOC_Os05g01200.1:utr_2
chr05	CDS	148562	149341	+	LOC_Os05g01200.1:cds_1
chr05	three_prime_UTR	149342	149345	+	LOC_Os05g01200.1:utr_3
chr05	gene	149946	152046	-	LOC_Os05g01210
chr05	mRNA	149946	152046	-	LOC_Os05g01210.1
chr05	exon	151946	152046	-	LOC_Os05g01210.1:exon_1
chr05	exon	151177	151383	-	LOC_Os05g01210.1:exon_2
chr05	exon	150708	150768	-	LOC_Os05g01210.1:exon_3
chr05	exon	149946	150589	-	LOC_Os05g01210.1:exon_4
chr05	five_prime_UTR	151946	152046	-	LOC_Os05g01210.1:utr_3
chr05	five_prime_UTR	151347	151383	-	LOC_Os05g01210.1:utr_2
chr05	CDS	151177	151346	-	LOC_Os05g01210.1:cds_1
chr05	CDS	150708	150768	-	LOC_Os05g01210.1:cds_2
chr05	CDS	150320	150589	-	LOC_Os05g01210.1:cds_3
chr05	three_prime_UTR	149946	150319	-	LOC_Os05g01210.1:utr_1
chr05	mRNA	149946	152034	-	LOC_Os05g01210.2
chr05	exon	151803	152034	-	LOC_Os05g01210.2:exon_1
chr05	exon	151177	151383	-	LOC_Os05g01210.2:exon_2
chr05	exon	150708	150768	-	LOC_Os05g01210.2:exon_3
chr05	exon	149946	150589	-	LOC_Os05g01210.2:exon_4
chr05	five_prime_UTR	151803	152034	-	LOC_Os05g01210.2:utr_3
chr05	five_prime_UTR	151347	151383	-	LOC_Os05g01210.2:utr_2
chr05	CDS	151177	151346	-	LOC_Os05g01210.2:cds_1
chr05	CDS	150708	150768	-	LOC_Os05g01210.2:cds_2
chr05	CDS	150320	150589	-	LOC_Os05g01210.2:cds_3
chr05	three_prime_UTR	149946	150319	-	LOC_Os05g01210.2:utr_1
chr05	mRNA	149946	152046	-	LOC_Os05g01210.3
chr05	exon	151946	152046	-	LOC_Os05g01210.3:exon_1
chr05	exon	151177	151383	-	LOC_Os05g01210.3:exon_2
chr05	exon	150708	150768	-	LOC_Os05g01210.3:exon_3
chr05	exon	150554	150589	-	LOC_Os05g01210.3:exon_4
